"NutsID","region_name","NUTS_level","l.year","l.value","ltn.type_labour"
"111160101","Aboim das Choças","5","2019","35","Total labour force in agriculture"
"111160101","Aboim das Choças","5","2019","34","Family labour force"
"111160101","Aboim das Choças","5","2019","15","Holder"
"111160101","Aboim das Choças","5","2019","13","Spouse"
"111160101","Aboim das Choças","5","2019","6","Other family members"
"111160101","Aboim das Choças","5","2019","2","Non-family labour force"
"111160101","Aboim das Choças","5","2019","1","Regular"
"111160101","Aboim das Choças","5","2019","0","Non-regular"
"111160101","Aboim das Choças","5","2019","0","Workers not hired by the holder"
"111160102","Aguiã","5","2019","72","Total labour force in agriculture"
"111160102","Aguiã","5","2019","70","Family labour force"
"111160102","Aguiã","5","2019","38","Holder"
"111160102","Aguiã","5","2019","27","Spouse"
"111160102","Aguiã","5","2019","5","Other family members"
"111160102","Aguiã","5","2019","3","Non-family labour force"
"111160102","Aguiã","5","2019","0","Regular"
"111160102","Aguiã","5","2019","2","Non-regular"
"111160102","Aguiã","5","2019","0","Workers not hired by the holder"
"111160104","Ázere","5","2019","19","Total labour force in agriculture"
"111160104","Ázere","5","2019","18","Family labour force"
"111160104","Ázere","5","2019","11","Holder"
"111160104","Ázere","5","2019","5","Spouse"
"111160104","Ázere","5","2019","2","Other family members"
"111160104","Ázere","5","2019","1","Non-family labour force"
"111160104","Ázere","5","2019","0","Regular"
"111160104","Ázere","5","2019","1","Non-regular"
"111160104","Ázere","5","2019","0","Workers not hired by the holder"
"111160105","Cabana Maior","5","2019","26","Total labour force in agriculture"
"111160105","Cabana Maior","5","2019","25","Family labour force"
"111160105","Cabana Maior","5","2019","15","Holder"
"111160105","Cabana Maior","5","2019","9","Spouse"
"111160105","Cabana Maior","5","2019","1","Other family members"
"111160105","Cabana Maior","5","2019","0","Non-family labour force"
"111160105","Cabana Maior","5","2019","0","Regular"
"111160105","Cabana Maior","5","2019","0","Non-regular"
"111160105","Cabana Maior","5","2019","0","Workers not hired by the holder"
"111160106","Cabreiro","5","2019","123","Total labour force in agriculture"
"111160106","Cabreiro","5","2019","114","Family labour force"
"111160106","Cabreiro","5","2019","71","Holder"
"111160106","Cabreiro","5","2019","32","Spouse"
"111160106","Cabreiro","5","2019","11","Other family members"
"111160106","Cabreiro","5","2019","9","Non-family labour force"
"111160106","Cabreiro","5","2019","6","Regular"
"111160106","Cabreiro","5","2019","3","Non-regular"
"111160106","Cabreiro","5","2019","0","Workers not hired by the holder"
"111160108","Cendufe","5","2019","33","Total labour force in agriculture"
"111160108","Cendufe","5","2019","30","Family labour force"
"111160108","Cendufe","5","2019","17","Holder"
"111160108","Cendufe","5","2019","10","Spouse"
"111160108","Cendufe","5","2019","3","Other family members"
"111160108","Cendufe","5","2019","3","Non-family labour force"
"111160108","Cendufe","5","2019","2","Regular"
"111160108","Cendufe","5","2019","1","Non-regular"
"111160108","Cendufe","5","2019","0","Workers not hired by the holder"
"111160109","Couto","5","2019","27","Total labour force in agriculture"
"111160109","Couto","5","2019","26","Family labour force"
"111160109","Couto","5","2019","13","Holder"
"111160109","Couto","5","2019","8","Spouse"
"111160109","Couto","5","2019","5","Other family members"
"111160109","Couto","5","2019","2","Non-family labour force"
"111160109","Couto","5","2019","0","Regular"
"111160109","Couto","5","2019","1","Non-regular"
"111160109","Couto","5","2019","0","Workers not hired by the holder"
"111160113","Gavieira","5","2019","70","Total labour force in agriculture"
"111160113","Gavieira","5","2019","67","Family labour force"
"111160113","Gavieira","5","2019","34","Holder"
"111160113","Gavieira","5","2019","22","Spouse"
"111160113","Gavieira","5","2019","10","Other family members"
"111160113","Gavieira","5","2019","3","Non-family labour force"
"111160113","Gavieira","5","2019","2","Regular"
"111160113","Gavieira","5","2019","1","Non-regular"
"111160113","Gavieira","5","2019","0","Workers not hired by the holder"
"111160115","Gondoriz","5","2019","150","Total labour force in agriculture"
"111160115","Gondoriz","5","2019","144","Family labour force"
"111160115","Gondoriz","5","2019","77","Holder"
"111160115","Gondoriz","5","2019","49","Spouse"
"111160115","Gondoriz","5","2019","18","Other family members"
"111160115","Gondoriz","5","2019","6","Non-family labour force"
"111160115","Gondoriz","5","2019","1","Regular"
"111160115","Gondoriz","5","2019","5","Non-regular"
"111160115","Gondoriz","5","2019","0","Workers not hired by the holder"
"111160142","Jolda (São Paio)","5","2019","40","Total labour force in agriculture"
"111160142","Jolda (São Paio)","5","2019","31","Family labour force"
"111160142","Jolda (São Paio)","5","2019","17","Holder"
"111160142","Jolda (São Paio)","5","2019","10","Spouse"
"111160142","Jolda (São Paio)","5","2019","4","Other family members"
"111160142","Jolda (São Paio)","5","2019","10","Non-family labour force"
"111160142","Jolda (São Paio)","5","2019","8","Regular"
"111160142","Jolda (São Paio)","5","2019","2","Non-regular"
"111160142","Jolda (São Paio)","5","2019","0","Workers not hired by the holder"
"111160121","Miranda","5","2019","59","Total labour force in agriculture"
"111160121","Miranda","5","2019","58","Family labour force"
"111160121","Miranda","5","2019","36","Holder"
"111160121","Miranda","5","2019","17","Spouse"
"111160121","Miranda","5","2019","5","Other family members"
"111160121","Miranda","5","2019","1","Non-family labour force"
"111160121","Miranda","5","2019","0","Regular"
"111160121","Miranda","5","2019","1","Non-regular"
"111160121","Miranda","5","2019","0","Workers not hired by the holder"
"111160122","Monte Redondo","5","2019","16","Total labour force in agriculture"
"111160122","Monte Redondo","5","2019","16","Family labour force"
"111160122","Monte Redondo","5","2019","9","Holder"
"111160122","Monte Redondo","5","2019","4","Spouse"
"111160122","Monte Redondo","5","2019","3","Other family members"
"111160122","Monte Redondo","5","2019","0","Non-family labour force"
"111160122","Monte Redondo","5","2019","0","Regular"
"111160122","Monte Redondo","5","2019","0","Non-regular"
